Variable Name,Label,Value Labels,Level,Role,Type of data,Full Question
Q2_POKER_17_8,Q2_POKER_17:Special events,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_17_9,"Q2_POKER_17:Platform (graphics, personalization, UX)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_17_10,Q2_POKER_17:Security & fraud prevention,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_17_1,Q2_OVERALL_17:Ease of Use,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_17_2,"Q2_OVERALL_17:Bonus & Promotions (based on bonus amount, free / deposit based /  wagering requirements)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_17_3,"Q2_OVERALL_17:Customer Support (accessibility, quality, responsiveness, problem solving)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_17_4,"Q2_OVERALL_17:Variety & Experience (variety of games, Odds, sporting events bets, special features, game experience, platform)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_17_5,"Q2_OVERALL_17:Deposit & Cashout ((ease, methods, time)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_17_6,"Q2_OVERALL_17:Jackpots / (Tournament Prize) (size, frequency, variety)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASHOUT_18_1,Q2_CASHOUT_18:Cashout time,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>cashout</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASHOUT_18_2,Q2_CASHOUT_18:Reverse time,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>cashout</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASHOUT_18_3,Q2_CASHOUT_18:Weekend cashouts,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>cashout</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_WITHDRAWAL_18_1,Q2_WITHDRAWAL_18:Withdrawal methods,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>withdrawals</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_WITHDRAWAL_18_2,Q2_WITHDRAWAL_18:Withdrawal speed,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>withdrawals</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_WITHDRAWAL_18_3,Q2_WITHDRAWAL_18:Withdrawal limit,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>withdrawals</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BONUS_18_1,Q2_BONUS_18:No-deposit bonus,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BONUS_18_2,Q2_BONUS_18:Deposit bonus,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BONUS_18_3,Q2_BONUS_18:Free Spins,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BONUS_18_4,Q2_BONUS_18:Wagering requirements,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_LOYALTY_18_1,Q2_LOYALTY_18:Existing users promotions,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_LOYALTY_18_2,Q2_LOYALTY_18:Loyalty / VIP program,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CS_18_1,Q2_CS_18:24/7 support,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>customer service</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CS_18_2,Q2_CS_18:Toll-free phone,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>customer service</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CS_18_3,Q2_CS_18:Multi lingual,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>customer service</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CS_18_4,Q2_CS_18:Responsiveness to complaints,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>customer service</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CS_18_5,Q2_CS_18:Live chat,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>customer service</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_MOBILE_18_1,Q2_MOBILE_18:App,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_MOBILE_18_2,Q2_MOBILE_18:Responsive,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASINO_18_1,Q2_CASINO_18:Variety of slots games,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASINO_18_2,Q2_CASINO_18:Variety of table games,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASINO_18_3,Q2_CASINO_18:Live casino,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASINO_18_4,Q2_CASINO_18:Progressive Jackpots,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_SPORTS_BETTING_18_1,Q2_SPORTS_BETTING_18:Variety sporting events,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_SPORTS_BETTING_18_2,"Q2_SPORTS_BETTING_18:Variety of non-sporting events (politics, reality shows, etc.)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_SPORTS_BETTING_18_3,Q2_SPORTS_BETTING_18:Quality of Odds,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_SPORTS_BETTING_18_4,Q2_SPORTS_BETTING_18:Progressive Jackpots,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BINGO_18_1,Q2_BINGO_18:Variety of bingo rooms (75ball & 90ball),1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BINGO_18_2,Q2_BINGO_18:Variety of slots / side / instant win games,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BINGO_18_3,Q2_BINGO_18:Progressive Jackpots quality,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BINGO_18_4,Q2_BINGO_18:Quality of chat hosts,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_1,Q2_POKER_18:Variety of games,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_2,"Q2_POKER_18:Variety & sizes of tournaments (including different speed types, sit & gos, free rolls, satellites)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_3,Q2_POKER_18:Number of players & tables,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_4,Q2_POKER_18:Bonuses / loyalty program,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_5,Q2_POKER_18:Rake amount,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_6,Q2_POKER_18:Free Poker / Tutorials,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_7,Q2_POKER_18:Stakes amount,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_8,Q2_POKER_18:Special events,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_9,"Q2_POKER_18:Platform (graphics, personalization, UX)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_POKER_18_10,Q2_POKER_18:Security & fraud prevention,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_18_1,Q2_OVERALL_18:Ease of Use,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_18_2,"Q2_OVERALL_18:Bonus & Promotions (based on bonus amount, free / deposit based /  wagering requirements)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_18_3,"Q2_OVERALL_18:Customer Support (accessibility, quality, responsiveness, problem solving)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_18_4,"Q2_OVERALL_18:Variety & Experience (variety of games, Odds, sporting events bets, special features, game experience, platform)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_18_5,"Q2_OVERALL_18:Deposit & Cashout ((ease, methods, time)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_OVERALL_18_6,"Q2_OVERALL_18:Jackpots / (Tournament Prize) (size, frequency, variety)",1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'><b>Thinking of the brand <font color='red'><b>OVERALL</b></font color='red'>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <font color='red'><b>#PAGECHOICE#</b></font color='red'> on…</font></b>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASHOUT_19_1,Q2_CASHOUT_19:Cashout time,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>cashout</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASHOUT_19_2,Q2_CASHOUT_19:Reverse time,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>cashout</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_CASHOUT_19_3,Q2_CASHOUT_19:Weekend cashouts,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>cashout</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_WITHDRAWAL_19_1,Q2_WITHDRAWAL_19:Withdrawal methods,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>withdrawals</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_WITHDRAWAL_19_2,Q2_WITHDRAWAL_19:Withdrawal speed,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>withdrawals</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_WITHDRAWAL_19_3,Q2_WITHDRAWAL_19:Withdrawal limit,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>Now thinking about <b>withdrawals</b>, on a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BONUS_19_1,Q2_BONUS_19:No-deposit bonus,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
Q2_BONUS_19_2,Q2_BONUS_19:Deposit bonus,1:1 - Fair|2:2 - Good|3:3 - Very Good|4:4 - Excellent|5:5 - Superb|6:Don’t know / Don’t use this function|9998:(Not asked),Nominal,Input,Numeric,"<font size='18'>On a scale of 1-5, where 5 is excellent, 1 is very poor, how would you rate <b>#PAGECHOICE#</b> on…</font>  <inst>Please select one option for each answer</inst> <br/>"
